회사명,사업자등록번호,개업년월,기업소개,주요작품,우편번호,주소,상세주소,대표전화,홈페이지주소,메이커스주요분야,콘텐츠주요분야,SNS주소1,SNS주소2,SNS주소3,공개여부
토화랑,128-91-63204,2004-05-27,- 도자관련 다양한 프로젝트 진행 _ 초등학교 졸업기념 타일벽화제작  전주 영화제 도자기 트로피 제작등- 도자디자인상품 개발 _ 날닭 캐릭터상품  공예품 제작 등  - 전문 도예 교육기관 _ 다양한 교육대상자에 맞는 커리큘럼과 기초부터 전문가가 되기까지 체계적인 프로그램으로 전문인을 양성.,- 도예교육상품 http://www.thr.kr- 도자기 캐릭터 ‘날닭’ 브랜드 개발_ 관련상품 제작 아트페어 판매 http://naldak.kr- 도자공예품 그릇 ‘랑’ 주문제작,10525,경기도 고양시 덕양구 행신동 746-10,지하1층  토화랑,,http://www.thr.kr,,,,,,Y
톤바이림,545-13-00594,2018-08-14,아로마 캔들  캔들스퀘어 레벨2  소이 플라워  밀랍 플라워  클레이크림 플라워  천연비누.디자인비누  화장품.아로마테라피  기업강의 및 단체출강 주문제작판매 kakaoTalk. tonebylim / 톤바이림,아로마 캔들  캔들스퀘어 레벨2  소이 플라워  밀랍 플라워  클레이크림 플라워  천연비누.디자인비누  화장품.아로마테라피,16866,경기도 용인시 수지구 용구대로2772번길 14 북경손짜장,1층 톤바이림,,https://blog.naver.com/bylim2014,,,,,,Y
팍스팩토리 가죽공방,134-29-30128,2011-01-03,팍스팩토리 안산가죽공방 가죽공예배우기 / 가죽공예원데이클래스 / 정규코스반 / 자격증반 / 자유반 / 단품반 / 수강문의 - 카카오톡 플러스친구 : 팍스팩토리,가죽공예로 제작한 가방류  지갑류  소품류,15459,경기도 안산시 단원구 적금로 71,2층 203호 팍스팩토리 가죽공방,,https://petstylish.blog.me/,가죽,,,,,Y
편백메이트(나무놀이터),127-41-28927,2013-07-30,친환경 편백원목 자재를 활용하여 전통 짜맞춤 방식으로 환경호르몬 걱정없는 제품제작 교육을통해 실력자들을 양성하고 목공의 우수성을 알린다.예비창업자를 위한 목공창업반 및 초급반  취미반으로 구분된 차별화된 교육 프로그램 운영,건강한 웰빙가구,11671,경기도 의정부시 둔야로 70,1층  지하층  편백메이트,,https://cafe.naver.com/greenvuffo,목공,,,,,Y
프라우스 공방,797-50-00088,2016-09-09,경기도 광주 프라모델 공방 2016년 9월 9일 오픈  MEMBERSHIP  MODELING WORKSHOP  건담 킷  도료  에어브러쉬   기타 소모품 판매  도색의뢰  도색강좌,건담,12755,경기도 광주시 파발로 141,3층 프라우스,,https://blog.naver.com/cobalt78,,,,,,Y
프로메모리아,755-47-00236,2018-04-04,프로메모리아캔들  디퓨저  차량용 방향제  석고방향제,캔들  디퓨저  차량용 방향제  석고방향제,12763,경기도 광주시 경안로 106 해태그린아파트,101-1007,,https://smartstore.naver.com/promemoria_perfume,,,,,,Y
올(All)바른공방,314-33-00488,2018-07-17,"All바른공방은  안전한 성분을 선별하고  정확한 방법을 지키는 것을 원칙으로 합니다    아로마테라피/천연화장품/ 천연비누/천연세제/캔들/ 답례품 및 주문제작    부천시 중동로 248번길 38 매트로팰리스 2차 A동 209  Tel. 070-4203-1140 카카오 플러스친구 ID allbaren 인스타그램 allbaren_shop  ""평일 10시 ~ 20시"" ""100% 예약제"" ""예약 후 방문상담가능""",아로마테라피/천연화장품/ 천연비누/천연세제/캔들/ 답례품 및 주문제작,14548,경기도 부천시 중동로248번길 38 매트로펠리스 Ⅱ-A,올바른공방,070-4203-1140,https://blog.naver.com/allbaren_shop,,,,,,Y
옷만들어요,689-27-00095,2016-12-01,옷만들어요수강생 문의 블로그 상단 공지사항 확인 부탁드립니다.전화: 031-8015-4423open10:00~close21:00,패션,18434,경기도 화성시 반송동 22-3,1층 옷만들어요,,http://blog.naver.com/mmmmaking,,,,,,Y
와이,124-50-75175,2012-04-24,저희 와이공방에서는 직접 나의 손으로 만들어내는 핸드페이드의 가치를 중요하게 생각하고 있습니다.,가죽가방과 소품위주로 제작하고 있습니다.,16305,경기도 수원시 장안구 송원로59번길 15 옥경빌딩,105호,,http://www.wai-atelier.com,가죽,지식정보,www.wai-atelier.com,인스타그램: @wai_atelier,카카오플러스 : @wai,Y
우드스튜디오새늘,597-24-00548,2018-03-01,콴우드스튜디오 qwan wood studio  커스터마이징 Design  craftman & designer,목공품,10312,경기도 고양시 일산동구 성석동 686-5,우드스튜디오 새늘,031-976-5994,https://blog.naver.com/bynamu2000,,,,,,Y
움트다,124-53-29750,2015-01-30,KPLA 공식 교육센터프리저브 플라워 마이스터INNA 수원교육센터수원 프리저브드플라워&아로마테라피 자격증반 (전문가반)키즈클래스 원데이클래스 레슨카카오톡 : 움트다플라워앤아로마테라피 (mana601),프리저브드 플라워 & 아로마 테라피,16327,경기도 수원시 장안구 천천로74번길 35 대월마을 주공아파트,움트다,,https://blog.naver.com/um_tda,,,,,,Y
유니메이커스,209-04-68527,2008-10-24,"고객님 환영합니다~!!! 저희 유니메이커스는 ""폼포즈""라는 유니폼 브랜드로 호텔 및 프랜차이즈 근무복을 전문적으로 생산하고 있으며 고객님들의 편의를 위해 관련된 유니폼 브랜드를 선별하고 최적의 품질과 착한가격으로 관계기관 및 업체에 납품드리고 있습니다.또한 스포츠 의류 브랜드 ""스포빅""을 런칭하여 최고의 흡한속건 향균원단(코오롱 ATB-UV+)을 직접 가공하여 커스텀(주문제작)승화전사 방식으로 직접생산 시스템을 갖추고 유소년 스포츠클럽 외 관련 동호회에 국내 최저단가로 공급하고 있습니다.저희 유니메이커스는 ""내가 찾는 유니폼"" 이라는 슬로건 답게 고객님의 눈높이에 맞춰 끝까지 책임지는 서비스로 최선의 노력을 다할 것을 약속드립니다.감사합니다.",프랜차이즈 근무복,16306,경기도 수원시 장안구 송원로 27-3 킹당구장,송죽빌딩 202호,031-245-6245,http://www.unimakers.kr/index.html,,,,,,Y
유닛플러스,589-24-00611,2018-09-12,#3D스캔 #벤치마킹 #역설계 #기구설계#개발에서 양산까지 패키지 서비스 제공#금속  플라스틱 가공  사출  금형  도색  조립을 합리적인 비용으로 제공,차량용 인테리어 / 익스테리어 용품을3D스캔부터 양산  판매까지 서비스,11631,경기도 의정부시 호동로 56 호원가든아파트,104-202,,https://blog.naver.com/unit-plus,기타,기타,,,,Y
율도예공방,691-04-00202,2015-12-09,2015년도에 개업을 하였으며 주로 교육과 물레상품을 제작  생산을 하고있다. 교육은 초 중과 일반인을 상대로 도자공예의 전반적인 것을 하고 있다.도자공예기능사 자격증을 위한 교육도 실행하며 창업에 관한 기술적인 것도 가르치고 있다.,물레작품이며 100%핸드메이드 이며 백자 분청토등 다양한 유약으로 색상을 나타낸다.,10241,경기도 고양시 일산서구 일현로 159 탄현동근생빌딩,유풍빌딩4층,031-918-7607,,도예,애니메이션 방송 광고 지식정보,,,,Y
은빛으로,129-09-72472,2014-01-15,순은 금속공예  칠보 공예  가죽공예  압화 공예 등의 공예 프로그램의 접목은 물론이고 공방의 대표인 심인숙 화가의 그림을 접목하여 다중 공예프로그램과 그림작품의 접목한 아트상품의 제작과 교육 프로그램을 운영 하고 있습니다.,순은 장신구  칠보 장신구  가죽 장신구 및 생활 장신구 제작.상기 장신구의 제작 체험 프로그램 개발.,13337,경기도 성남시 중원구 산성대로 지하 204-5,중앙지하도상가 E동 라열 29-31호,,https://eunbitro.modoo.at/,금속,,,,,Y
이숲,414-06-93656,2019-01-02,직조공방 이숲입니다.수직기를 이용하여 직접 직조한 핸드메이드 직물을 선보입니다.러그  쿠션  테이블매트  목도리  스카프 등 다양한 핸드메이드 제품을 선보입니다.,러그  쿠션  테이블매트  목도리  스카프 등,14544,경기도 부천시 소향로 25 서해프라자,5층 510호,,http://smartstore.naver.com/thisforest,기타,지식정보 기타,@this.forest,,,Y
이음목공소,114-01-95666,2017-06-22,오산 동탄 수원 용인 평택원목가구 및 소품 주문제작가구제작 수강생 모집카톡 : bank7893인스타 : eum_woodworking,목공품,18148,경기도 오산시 동부대로568번길 57,이음목공소,,https://blog.naver.com/bank7893,,,,,,Y
일마리넨,658-58-00270,2019-02-11,3D프린터를 활용하여 은제품을 제작하는 공방입니다.,팬던트  목걸이  팔찌  반지  귀걸이 등등,15047,경기도 시흥시 정왕동 2259-11,502호,,,금속,기타,,,,Y
제이투스토리,727-16-00218,2015-03-02,유화& 아크릴  도자 손작업  세라믹 핸드페인팅(자격증과정) 수강 회원을 모집합니다.아동반/성인반 운영중이며  월 - 토요일까지 수강 가능합니다.도자. 소품 선물샵을 운영중이니 구경오세요~^^,유화& 아크릴  도자 손작업  세라믹 핸드페인팅,18146,경기도 오산시 경기대로 105 로얄프라자,1층 제이투스토리,032-378-0844,http://www.j2-story.com/,,,,,,Y
달래리,896-16-00886,2019-04-11,몸과 마음을 건강하게 좋은 사람과 함께 나누는 달래리입니다.좋은 재료만을 엄선하여 만든 홈메이드 과일청 전문 공방으로깨끗하게 세척한 재료를 안전하게 담아유기농 원당과 자일로스 설탕을 이용하여 각종 영양소가 풍부한 과일청으로과일 본연의 맛과 향을 살린 너무 달지 않은 수제 과일청 전문 달래리입니다.,코디얼(유럽식수제청): 장미코디얼  엘더플라워코디얼과일수제청: 히비스커스레몬청  패션후르츠청  파인애플청  키위청  자두청  천도복숭아청 등등 제철 과일청고(오랜 시간 끓여 만드는,16339,경기도 수원시 장안구 정자로144번길 38 용인태권도,1층 달래리,,,푸드,기타,@dallaeri,,,Y
담지가죽공방,130-47-08399,2014-08-13,기계화 전산화시대에 끌려가지않고 100% 수작업으로 진행하는 공방이며 패턴사의 공식력있는 패턴교육으로 일반공방과 달리 깊이있는 교육을 진행하며 수강생과 끈임없는 네트워크로 함께 성장해가는 공방.,남자서류가방  여성백  반지갑,11673,경기도 의정부시 둔야로45번길 30,지층,,https://damji.modoo.at/,가죽,,,,,Y
더봄아뜰리에,111-32-74803,2016-09-02,일상의 행복한 순간을 향기에 담아 추억하고  보이지 않고 만질 순 없지만  향기로운 날들을 기억할 수 있는 오브제를 만들도록 더봄아뜰리에가 디자인합니다.,천연캔들  천연비누  천연화장품  아로마테라피 등의 향기공예를 더봄아뜰리에를 통해 만나보실 수 있습니다.,11324,경기도 동두천시 상패로216번길 40,1층,,http://blog.naver.com/thebomatelier,생활,기타,http://blog.naver.com/thebomatelier,http://instagram.com/thebom_atelier,,Y
박만순옻칠공방,130-42-15070,2010-08-25,40년 칠 장인의 기능 관련 공모전 5회 대상 옻칠 기능경기대회 금상 수상 경력 활용하여 일반인과 협업 요청하는 공예인들 옻칠 기본교육으로 칠 문화 확산.,포도문 보석함(2009~현재 스테디셀러) 2016 우수문화상품 지정(대나무 다용도 합 세트) 2017 우수문화상품 지정(옻칠 나전 트레이) 2018 우수문화상품 추가시리즈(옻칠 나,14486,경기도 부천시 원미로 305,중요무형문화재 부천전수관 1층  <부천시공예체험교육관 나전칠기방>,,,목공,,,,,Y
베베문아뜰리에,446-15-00608,2018-03-20,베베문아뜰리에?다품종 소량제작??sewing?textile?#원데이클래스 #주문제작 협업 구입문의?카카오톡 플러스친구 - #베베문아뜰리에,쏘잉  텍스타일,16002,경기도 의왕시 포일세거리로 96 포일숲속마을,5단지 상가동 103호,,https://smartstore.naver.com/babemoonatelier,,,,,,Y
별밭,835-10-00254,2018-04-12,운영시간 평일 10:30 - 21:00이천 공예스튜디오 별밭입니다프랑스자수 취미반.원데이클래스 수업이 준비되어있고11월엔 캘리그라피 붓펜 취미반도 개강예정입니다 이 두가지 뿐만아니라 앞으로 많은 공예 수업이 진행될 예정입니다!- 카톡 '별밭'   - 인스타그램 _byulbat,프랑스 자수를 넣은 다양한 수공예품과 캘리그라피 작품,17370,경기도 이천시 애련정로103번길 12,1층 별밭,,https://blog.naver.com/bbb_bba,생활,,https://smartstore.naver.com/byulbat,,,Y
보리목공방,202-38-68249,2015-08-04,작업자의 생각과 마음이 담긴 그래서 쓰는이로 하여금 제가 만든 가구에서만 느낄 수 있는 고유의 느낌을 만들어 가는 것이 저 개인의 목표이며  좀 더 체계적이고 전문화된 목공교육을 통해 국내 최고의 목공교육공방 으로  거듭나는 것이 보리목공방의 목표입니다.,● 수제작 주문가구● 목공교육,12028,경기도 남양주시 수동면 지둔리 183-1 창일,보리목공방,,https://blog.naver.com/aafile,목공,,,,,Y
블랑나인,405-35-00416,2017-11-01,나만의 향과 감성으로 하나밖에 없는 핸드메이드 작품을 만들어보세요블랑나인은 코스메틱등급 프리머엄 프래그런스오일과 저가첨가물&보조제를 사용하지 않고 천연재료로만 수업 및 제작하고 있습니다.오피스텔형이 아닌 상가에 위치원데이/취미반/자격증반 클래스 상시모집커리큘럼은 블로그를 확인해주세요:-),캔들 핸드메이드 작품,15551,경기도 안산시 상록구 본오로 85,102호 블링나인,,https://blanc9.modoo.at/,생활,,https://blog.naver.com/blanc_nine,https://open.kakao.com/o/sVUwkuib,https://www.instagram.com/blanc_nine/,Y
세렌디피티,651-48-00440,2018-06-12,아로마테라피 컬러테라피 천연향수를 수업하는 감성을 담은 세렌디피티입니다,컬러테라피 천연향수,13540,경기도 성남시 분당구 판교원로82번길 30 산운마을13단지아파트,1301-2202,,http://blog.naver/kurejeen,기타,지식정보,,,,Y
센토리움,796-31-00594,2018-05-16,프리미엄 향수 공방센토리움나만의 향수 만들기 조향 취미반경기도 광명시 일직로 22 2층 219호,향수 조향,14344,경기도 광명시 일직로 22 광명역 효성 해링턴타워 The First,2층 219호,,https://blog.naver.com/scentorium,,,,,,Y
소잉공방 이치고이치에,372-13-00716,2011-11-01,원하는  아이템  단품을  만들어가기보다...재단  다양한 기법  다양한노루발 사용  기타  부재료들을  적재 적소에~  넣어가며..꼼꼼하게   넓고   깊게....  만드실수  있는 능력을  키워나가는 것을  지향하는 공방입니다~~^^소수 정예  프리미엄 소잉공방 입니다~,미싱으로 만든 수예품,14066,경기도 안양시 동안구 부림로 113 평촌아이파크,530호 소양공방이치고이치에,,https://blog.naver.com/somssii/,패션,,,,,Y
수수케이크,667-05-00768,2017-07-18,customized topper & cake수수케이크,케이크,14245,경기도 광명시 안현로 35 하안2단지고층주공아파트,204-1106,02-6671-0815,https://smartstore.naver.com/soosoocake,,,,,,Y
숨,850-03-00352,2016-11-08,Soom-studio천연 비누  아로마  캔들핸드 메이드 감성 공방그리고지극히 감성적인 이야기,천연 비누  아로마  캔들,10379,경기도 고양시 일산서구 중앙로 1470 문촌마을 복합상가,동부썬플라자 1동 201호,,https://blog.naver.com/soom-studio,,,,,,Y
스윗스토리,496-27-00625,2017-12-27,향기로 가득담은 소이캔들과 디퓨져  정성으로 만들어지는 천연비누 제작소 스윗스토리 입니다.,소이캔들 디퓨져 천연비누,11945,경기도 구리시 검배로120번길 33,304호,0507-1301-1407,https://smartstore.naver.com/sweetstory-un/,,,,,,Y

