 연번,읍면동,놀이터명,위치,설치일자,검사일,데이터 기준일,관리기관명,관리기관 전화번호
308,옥정동,율정마을 8단지 어린이집 앞 놀이시설4,"경기도 양주시 옥정동로 240, (옥정동)율정마을 8단지",2017-03-23,2021-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
309,옥정동,양주 옥정동 16단지 1607동 옆 놀이시설1,경기도 양주시 옥정동 320-1,2017-03-23,2019-05-10,2021-05-06,양주시 안전건설과,031-8082-6742
310,옥정동,양주 옥정동16단지 보육시설 뒤 놀이시설2,경기도 양주시 옥정동 320-1,2017-03-23,2019-04-19,2021-05-06,양주시 안전건설과,031-8082-6742
311,옥정동,양주 옥정동16단지 보육시설 옆 놀이시설3,경기도 양주시 옥정동 320-1,2017-03-23,2019-05-10,2021-05-06,양주시 안전건설과,031-8082-6742
312,옥정동,양주 옥정동16단지 보육시설 옆 놀이시설4,경기도 양주시 옥정동 320-1,2017-03-23,2019-05-10,2021-05-06,양주시 안전건설과,031-8082-6742
313,옥정동,능호관 이인상공원 내 실외놀이터,경기도 양주시 옥정동 1025-6,2017-03-27,2021-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
314,옥정동,율정마을도서관 어린이놀이시설,"경기도 양주시 옥정동로 162, (옥정동, 율정마을13단지)율정마을 도서관",2017-04-17,2020-10-09,2021-05-06,양주시 안전건설과,031-8082-6742
315,광적면,벨라시티아파트 놀이터1,"경기도 양주시 광적면 지섬로198번길 16, (벨라시티아파트)",2017-05-25,2019-06-12,2021-05-06,양주시 안전건설과,031-8082-6742
316,광적면,벨라시티아파트 놀이터2(유아),"경기도 양주시 광적면 지섬로198번길 16, (벨라시티아파트)",2017-05-25,2019-05-16,2021-05-06,양주시 안전건설과,031-8082-6742
317,옥정동,e편한세상 양주 1차 어린이놀이터1(106동 앞),"경기도 양주시 옥정동 958, e편한세상 1차",2017-07-11,2019-07-19,2021-05-06,양주시 안전건설과,031-8082-6742
318,옥정동,e편한세상 양주 1차 어린이놀이터2(105동 앞),"경기도 양주시 옥정동 958, e편한세상 1차",2017-07-11,2019-07-19,2021-05-06,양주시 안전건설과,031-8082-6742
319,옥정동,e편한세상 양주 1차 유아놀이터(104동 앞),"경기도 양주시 옥정동 958, e편한세상 1차",2017-07-11,2019-07-19,2021-05-06,양주시 안전건설과,031-8082-6742
320,광적면,가석 제1어린이공원 놀이터,"경기도 양주시 광적면 가납리 857, 가석 제1어린이공원",2017-07-31,2019-09-02,2021-05-06,양주시 안전건설과,031-8082-6742
321,남방동,캠핑5492 실내놀이시설,"경기도 양주시 양주산성로 127, (남방동)",2017-09-20,2019-10-07,2021-05-06,양주시 안전건설과,031-8082-6742
322,삼숭동,별내옥 어린이놀이시설,"경기도 양주시 삼숭동 21-4, 별내옥",2017-10-30,2019-11-22,2021-05-06,양주시 안전건설과,031-8082-6742
323,광사동,하늘물유아숲체험원,"경기도 양주시 고읍로 126, (광사동)하늘물유아숲체험원",2017-11-16,2019-12-05,2021-05-06,양주시 안전건설과,031-8082-6742
324,삼숭동,쪽삼 내 실내놀이시설,"경기도 양주시 어하고개로 56, (삼숭동)1층",2017-11-08,2019-12-24,2021-05-06,양주시 안전건설과,031-8082-6742
325,삼숭동,마장동 생갈비 내 어린이놀이시설,"경기도 양주시 삼숭로58번길 69, (삼숭동)마장동 생갈비",2017-11-20,2019-12-13,2021-05-06,양주시 안전건설과,031-8082-6742
326,덕정동,행전어린이집 놀이시설,"경기도 양주시 화합로1426번길 9, (덕정동)",2017-12-11,2019-12-12,2021-05-06,양주시 안전건설과,031-8082-6742
327,광적면,석우근린공원 내 놀이시설,"경기도 양주시 광적면 석우리 407, 석우근린공원",2017-12-27,2019-11-28,2021-05-06,양주시 안전건설과,031-8082-6742
328,옥정동,새빛뜰근린공원내 놀이시설,경기도 양주시 옥정동 879-1,2017-12-29,2020-01-22,2021-05-06,양주시 안전건설과,031-8082-6742
329,옥정동,e편한세상 양주신도시2차아파트 106동앞 어린이놀이터1,경기도 양주시 옥정동 27,2018-02-13,2020-03-23,2021-05-06,양주시 안전건설과,031-8082-6742
330,옥정동,양주 옥정 e편한세상2차 어린이놀이터2(111동 옆),"경기도 양주시 옥정동로1길 63, (옥정동)",2018-02-26,2020-03-23,2021-05-06,양주시 안전건설과,031-8082-6742
331,옥정동,양주 옥정 e편한세상2차 유아이놀이터1(101동 앞),"경기도 양주시 옥정동로1길 63, (옥정동)",2018-02-26,2020-04-02,2021-05-06,양주시 안전건설과,031-8082-6742
332,옥정동,옥정 3단지 아파트 어린이놀이터 1(관리사무소 앞 놀이시설),"경기도 양주시 옥정서로 254, (옥정동)옥정 3단지",2018-05-14,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
333,옥정동,옥정 3단지 아파트 어린이놀이터 2(302동 뒤 놀이시설),"경기도 양주시 옥정서로 254, (옥정동)옥정 3단지",2018-05-14,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
334,옥정동,옥정 3단지 아파트 어린이놀이터 3(304동 뒤 놀이시설),"경기도 양주시 옥정서로 254, (옥정동)옥정 3단지",2018-05-14,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
335,옥정동,옥정 3단지 아파트 유아놀이터(보육시설 옆 놀이시설),"경기도 양주시 옥정서로 254, (옥정동)옥정 3단지",2018-05-14,2020-05-29,2021-05-06,양주시 안전건설과,031-8082-6742
336,덕정동,덕정소공원,경기도 양주시 덕정동 537,2018-05-22,2020-07-03,2021-05-06,양주시 안전건설과,031-8082-6742
337,덕계동,범양 아이누리놀이터 내 놀이시설,경기도 양주시 덕계동 446-3,2018-06-11,2020-09-17,2021-05-06,양주시 안전건설과,031-8082-6742
338,옥정동,양주옥정리젠시빌란트 107동앞(어린이놀이터1),경기도 양주시 옥정동 1026,2018-06-29,2020-07-17,2021-05-06,양주시 안전건설과,031-8082-6742
339,옥정동,양주옥정 리젠시빌란트 109동앞(어린이놀이터2),경기도 양주시 옥정동 1026,2018-06-29,2020-07-17,2021-05-06,양주시 안전건설과,031-8082-6742
340,삼숭동,장어천국 셀프점 내 실내놀이시설,"경기도 양주시 어하고개로 5, (삼숭동)장어천국",2018-06-21,2020-08-04,2021-05-06,양주시 안전건설과,031-8082-6742
341,옥정동,금호제이드웰 2103동옆 유아놀이터,"경기도 양주시 옥정동로 106, (옥정동)",2018-07-02,2020-09-24,2021-05-06,양주시 안전건설과,031-8082-6742
342,옥정동,gs제이드웰 2107동 놀이터,"경기도 양주시 옥정동로 104, (옥정동)",2018-07-02,2020-09-24,2021-05-06,양주시 안전건설과,031-8082-6742
343,옥정동,gs제이드웰 2112동 놀이터,"경기도 양주시 옥정동로 104, (옥정동)",2018-07-02,2020-09-24,2021-05-06,양주시 안전건설과,031-8082-6742
344,광사동,하늘물 아이누리 놀이터 내 놀이시설,경기도 양주시 광사동 659,2018-07-13,2020-07-03,2021-05-06,양주시 안전건설과,031-8082-6742
345,광사동,이바돔감자탕 고읍점 내 어린이놀이시설,"경기도 양주시 고읍남로 6-10, (광사동)2층 이바돔 감자탕",2018-06-27,2020-07-31,2021-05-06,양주시 안전건설과,031-8082-6742
346,옥정동,금호제이드웰 어린이놀이터1(2101동 뒤),경기도 양주시 옥정동 864-751,2018-08-10,2020-09-24,2021-05-06,양주시 안전건설과,031-8082-6742
347,옥정동,금호제이드웰 어린이놀이터2(2105동 뒤),경기도 양주시 옥정동 864-751,2018-08-10,2020-09-24,2021-05-06,양주시 안전건설과,031-8082-6742
348,옥정동,gs제이드웰 어린이놀이터(2108동 앞),경기도 양주시 옥정동 1085,2018-08-10,2020-09-24,2021-05-06,양주시 안전건설과,031-8082-6742
349,옥정동,gs제이드웰 유아놀이터(어린이집 뒤),경기도 양주시 옥정동1085 ,2018-08-10,2020-09-24,2021-05-06,양주시 안전건설과,031-8082-6742
350,옥정동,옥정스파24시 사우나,"경기도 양주시 옥정동로7다길 62, (옥정동)",2018-08-27,2020-10-15,2021-05-06,양주시 안전건설과,031-8082-6742
351,옥정동,e편한세상 양주신도시3차아파트 어린이놀이터1(1505동 옆),경기도 양주시 옥정동 936,2018-11-19,2020-12-02,2021-05-06,양주시 안전건설과,031-8082-6742
352,옥정동,e편한세상 양주신도시3차아파트 어린이놀이터4(1507동 앞),경기도 양주시 옥정동 936,2018-11-19,2020-12-02,2021-05-06,양주시 안전건설과,031-8082-6742
353,옥정동,e편한세상 양주신도시3차아파트 유아놀이터(어린이집 옆),경기도 양주시 옥정동 936,2018-11-19,2020-12-02,2021-05-06,양주시 안전건설과,031-8082-6742
354,옥정동,e편한세상 양주신도시3차아파트 어린이놀이터2(1517동 앞),경기도 양주시 옥정동 517,2018-11-08,2020-12-02,2021-05-06,양주시 안전건설과,031-8082-6742
355,옥정동,e편한세상 양주신도시3차아파트 어린이놀이터3(1514동 앞),경기도 양주시 옥정동 517,2018-11-08,2020-12-02,2021-05-06,양주시 안전건설과,031-8082-6742
356,삼숭동,장어천국 특미관 내 실내놀이시설,"경기도 양주시 어하고개로 1, (삼숭동)",2018-11-28,2020-08-04,2021-05-06,양주시 안전건설과,031-8082-6742
357,회암동,회암사지 유아숲체험원(회암사지박물관 내),"경기도 양주시 회암사길 96, (회암동)",2018-12-28,2019-12-13,2021-05-06,양주시 안전건설과,031-8082-6742
358,옥정동,독바위 유아숲체험원 어린이놀이시설,경기도 양주시 옥정동 741-2,2019-06-03,2019-12-13,2021-05-06,양주시 안전건설과,031-8082-6742
359,삼숭동,곰두리어린이집 실외놀이터,"경기도 양주시 고삼로43번길 29, (삼숭동)",2019-06-10,2019-06-20,2021-05-06,양주시 안전건설과,031-8082-6742
360,옥정동,계룡 더파크포레 어린이놀이터1(2040동 앞),경기도 양주시 옥정동 1099,2019-10-08,2019-11-25,2021-05-06,양주시 안전건설과,031-8082-6742
361,옥정동,계룡 더파크포레 어린이놀이터2(2038동 앞),경기도 양주시 옥정동 1099,2019-10-08,2019-11-25,2021-05-06,양주시 안전건설과,031-8082-6742
362,옥정동,계룡 더파크포레 유아놀이터(2033동 앞),경기도 양주시 옥정동 1099,2019-10-08,2019-11-25,2021-05-06,양주시 안전건설과,031-8082-6742
363,옥정동,태영 더파크포레 어린이놀이터 1(2025동 앞),경기도 양주시 옥정동 1098,2019-10-08,2019-11-11,2021-05-06,양주시 안전건설과,031-8082-6742
364,옥정동,태영 더파크포레 어린이놀이터 2(2027동 앞),경기도 양주시 옥정동 1098,2019-10-08,2019-11-11,2021-05-06,양주시 안전건설과,031-8082-6742
365,옥정동,태영 더파크포레 유아놀이터(2028동 옆),경기도 양주시 옥정동 1098,2019-10-08,2019-11-11,2021-05-06,양주시 안전건설과,031-8082-6742
366,삼숭동,교동짬뽕 실내놀이시설,"경기도 양주시 부흥로 2146, (삼숭동)",2019-10-14,2019-11-14,2021-05-06,양주시 안전건설과,031-8082-6742
367,옥정동,양주옥정세영리첼,"경기도 양주시 회천남로 14, (옥정동)양주옥정세영리첼",2019-11-01,2020-06-29,2021-05-06,양주시 안전건설과,031-8082-6742
368,옥정동,양주옥정 세영리첼레이크아파트 어린이놀이터1,"경기도 양주시 회천남로 14, (옥정동)양주옥정세영리첼",2019-11-30,2020-01-09,2021-05-06,양주시 안전건설과,031-8082-6742
369,옥정동,양주옥정 세영리첼레이크아파트 어린이놀이터2,"경기도 양주시 회천남로 14, (옥정동)양주옥정세영리첼",2019-11-30,2020-01-09,2021-05-06,양주시 안전건설과,031-8082-6742
370,덕계동,몽페리에 연립주택,"경기도 양주시 평화로1429번길 36, (덕계동)몽페리엘",2019-12-27,2020-01-31,2021-05-06,양주시 안전건설과,031-8082-6742
371,옥정동,양주 e편한세상 옥정메트로포레 1901동 앞 어린이놀이터,"경기도 양주시 옥정동로 10, (옥정동)",2020-01-30,2020-04-14,2021-05-06,양주시 안전건설과,031-8082-6742
372,옥정동,양주 e편한세상 옥정메트로포레 1904동 앞 어린이놀이터,"경기도 양주시 옥정동로 10, (옥정동)",2020-01-30,2020-04-14,2021-05-06,양주시 안전건설과,031-8082-6742
373,옥정동,양주 e편한세상 옥정메트로포레 1910동 앞 어린이놀이터,"경기도 양주시 옥정동로 10, (옥정동)",2020-01-30,2020-04-14,2021-05-06,양주시 안전건설과,031-8082-6742
374,옥정동,양주 e편한세상 옥정메트로포레 1911동 앞 어린이놀이터,"경기도 양주시 옥정동로 10, (옥정동)",2020-01-30,2020-04-14,2021-05-06,양주시 안전건설과,031-8082-6742
375,옥정동,양주 e편한세상 옥정메트로포레 1915동 앞 어린이놀이터,"경기도 양주시 옥정동로 10, (옥정동)",2020-01-30,2020-04-14,2021-05-06,양주시 안전건설과,031-8082-6742
376,옥정동,양주4차 옥정메트로포레 어린이놀이터3 (1906동 1907동 사이),"경기도 양주시 옥정동로 10, (옥정동)",2020-03-05,2020-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
377,옥정동,양주4차 옥정메트로포레 어린이놀이터5 (중앙광장 보육시설 우측),"경기도 양주시 옥정동로 10, (옥정동)",2020-03-05,2020-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
378,옥정동,양주4차 옥정메트로포레 유아놀이터1 (중앙광장 보육시설 좌측),"경기도 양주시 옥정동로 10, (옥정동)",2020-03-05,2020-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
379,옥정동,양주4차 옥정메트로포레 유아놀이터2 (1918동 하부 유치원건물옆),"경기도 양주시 옥정동로 10, (옥정동)",2020-03-05,2020-04-16,2021-05-06,양주시 안전건설과,031-8082-6742
380,광사동,양주고읍 A-13BL 어린이놀이터 1301동 후면,경기도 양주시 광사동 717,2019-12-30,2020-04-01,2021-05-06,양주시 안전건설과,031-8082-6742
381,광사동,양주고읍 A-13BL 유아놀이터 1304동 전면,경기도 양주시 광사동 717,2019-12-30,2020-04-01,2021-05-06,양주시 안전건설과,031-8082-6742
382,옥정동,메가파크 양주,"경기도 양주시 옥정동로7가길 10, (옥정동)4층",2020-04-13,2020-05-08,2021-05-06,양주시 안전건설과,031-8082-6742
383,장흥면,주식회사 두리랜드,"경기도 양주시 장흥면 권율로 120, 두리랜드",2020-04-30,2020-05-21,2021-05-06,양주시 안전건설과,031-8082-6742
384,회정동,양주경찰서 직장어린이집 옥상놀이터,경기도 양주시 회정동 84-7,2020-04-25,2020-05-26,2021-05-06,양주시 안전건설과,031-8082-6742
385,덕계동,몽페리엘 어린이놀이시설,"경기도 양주시 평화로1429번길 39-19, (덕계동)",2020-05-08,2020-06-10,2021-05-06,양주시 안전건설과,031-8082-6742
386,남면,신산 아이누리 놀이터,경기도 양주시 남면 감악산로244번길 189,2020-05-06,2020-06-24,2021-05-06,양주시 안전건설과,031-8082-6742
387,고암동,양주덕정 행복 아파트 내 어린이놀이터,"경기도 양주시 고암길 219, (고암동)",2020-06-15,2020-07-13,2021-05-06,양주시 안전건설과,031-8082-6742
388,고암동,고암 소공원 어린이놀이터,"경기도 양주시 엄상동길 38, (고암동)",2020-06-26,2020-07-27,2021-05-06,양주시 안전건설과,031-8082-6742
389,옥정동,놀고먹소 양주점 내 실내놀이시설,"경기도 양주시 옥정로 218, (옥정동)204호(신운정튼튼프라자)",2020-08-29,2020-10-15,2021-05-06,양주시 안전건설과,031-8082-6742
390,덕계동,양주회천 택지개발사업 1단계 조경공사 내 어린이공원7,"경기도 양주시 덕계동 404-1, 현대아파트",2020-10-20,2021-04-12,2021-05-06,양주시 안전건설과,031-8082-6742
391,덕계동,양주회천 택지개발사업 1단계 조경공사 내 어린이공원6,"경기도 양주시 덕계동 318-1, 현대아파트",2020-10-20,2021-04-26,2021-05-06,양주시 안전건설과,031-8082-6742
392,옥정동,양주옥정1차대방노블랜드더시그니처아파트 어린이놀이터1(1203동 앞),경기도 양주시 옥정동 969,2020-11-05,2020-12-10,2021-05-06,양주시 안전건설과,031-8082-6742
393,옥정동,양주옥정1차대방노블랜드더시그니처아파트 어린이놀이터2(1210동 앞),경기도 양주시 옥정동 969,2020-11-05,2020-12-10,2021-05-06,양주시 안전건설과,031-8082-6742
394,옥정동,양주옥정1차대방노블랜드더시그니처아파트 유아놀이터(1205동 앞),경기도 양주시 옥정동 969,2020-11-05,2020-12-10,2021-05-06,양주시 안전건설과,031-8082-6742
395,옥정동,양주옥정모아미래도파크뷰 606동 어린이놀이터2,경기도 양주시 옥정동 1026-1,2020-11-18,2020-12-16,2021-05-06,양주시 안전건설과,031-8082-6742
396,옥정동,양주 옥정 모아 미래도 파크뷰 어린이놀이터(104동옆),경기도 양주시 옥정동 1026-1,2020-11-15,2020-12-10,2021-05-06,양주시 안전건설과,031-8082-6742
397,옥정동,양주 옥정 모아 미래도 파크뷰 유아놀이터(어린이집옆),경기도 양주시 옥정동 1026-1,2020-11-15,2020-12-10,2021-05-06,양주시 안전건설과,031-8082-6742
398,옥정동,양주옥정대방노블랜드 1208동옆 어린이놀이터,"경기도 양주시 회천남로 54, (옥정동)",2020-11-15,2020-12-10,2021-05-06,양주시 안전건설과,031-8082-6742
399,덕계동,회천 근린공원 5호 어린이놀이시설,경기도 양주시 덕계동 467,2020-12-28,2021-04-14,2021-05-06,양주시 안전건설과,031-8082-6742
