,name,소개,상세 정보,이용 시간,요금 정보,장소 특성,주요목적,주요목적 기타,평균 소요 시간,경사도(난이도),편의시설,기타 상세,장애인 시설정보,장애인 활동 보조 필요성,부대시설,숙박 업종,대표 메뉴 상세,금연여부,등급,룸개수,셔틀버스 운행 여부,애완동물동반허용여부,조식제공 여부,예약 가능 여부,노키즈존,대표 메뉴,방 보유,유아 서비스,유아 서비스 상세,부대시설 기타,Late체크인여부,공항교통편,장애인전용객실여부,유아 서비스 기타,취급품목,취급품목 기타,택배배송여부
1424,수복강녕,제주시 도청 후문에 위치한 석쇠직화구이 수제 떡갈비 전문점,"휴무 매주 화요일 마지막 주문시간 14:00, 19:00. 15:00~17:30 브레이크타임. 재료소진시 마감(영업시간보다 일찍 마감될 수 있음) 예약우선으로 영업하기 때문에 예약은 필수.","평일 : 11:00 ~ 20:00 , 주말 : 11:00 ~ 20:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
1425,순덕이네해산물장터,제주바다에서 직접 낚아 올린 해산물,연중무휴,"평일 : 09:00 ~ 19:00 , 주말 : 09:00 ~ 19:00",,,,,,,공용주차장,,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1426,순천미향,"흑돼지볶음, 갈치조림이 유명한 맛집",,"평일 : 08:30 ~ 20:00 , 주말 : ~",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1427,신산리마을카페,돌고래가 뛰노는 바다가 보이는 신산리의 작은 카페,연중무휴,"평일 : 09:30 ~ 20:00 , 주말 : 09:30 ~ 20:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1428,아일랜드팩토리,섬 속에 커피공장,연중무휴,"평일 : 10:00 ~ 23:00 , 주말 : 10:00 ~ 23:00",,,,,,,화장실,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,아찌국밥,"한경면 고산에 위치한 국밥집, JEJU GEO FOOD로 선정",,,,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",지오브랜드,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1430,어머니와장독대,한정식 전문,"첫째, 셋째주 화요일 휴무","평일 : 10:30 ~ 21:00 , 주말 : 10:30 ~ 21:00",,,,,,,"현금결제,카드결제,화장실",,,,,,,,,,,,,,,,,,,,,,,,,,
1431,어멍,함덕 대명리조트 내부에 있는 흑돼지 구이 전문점,,"평일 : 07:00 ~ 22:00 , 주말 : 07:00 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,편의점,유도 및 안내시설,경보 및 피난시설",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1432,어반르토아,"자몽 과육이 올려져 있는 자몽빙수, 진한 커피와 크림의 조화가 환상적인 소프트 모카",연중무휴,"평일 : 09:00 ~ 22:00 , 주말 : 09:00 ~ 22:00",,,,,,,"화장실,무료 WIFI",,,,,,,,,,,,,,,,,,,,,,,,,,
1433,예지원,"흑돼지, 전복, 은갈치, 고등어조림 전문점",,"평일 : 08:00 ~ 22:00 , 주말 : 08:00 ~ 22:00",,,,,,,공용주차장,,장애인 시설정보 >,쉬움,,,,,,,,,,,,,,,,,,,,,,,
1434,옛날동문시장칼국수,"착한가격업소, 옛날 그대로의 맛으로 국물이 구수하고 양이 많으며, 먹을수록 다시 먹고싶은 생각이 절로 드는 칼국수 전문점",,"평일 : 09:30 ~ 20:00 , 주말 : 09:30 ~ 20:00",,,,,,,"현금결제,카드결제,화장실,편의점,음료대",착한가격 업소,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1435,올래어촌,이호테우해변에서 쉽게 찾을 수 있는 횟집,연중무휴,"평일 : 10:00 ~ 22:00 , 주말 : 10:00 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1436,올랭이와물꾸럭,오리라는 제주도 방언인 올랭이와 문어를 가리키는 물꾸럭으로 요리하는 집,,"평일 : 16:00 ~ 21:00 , 주말 : 16:00 ~ 21:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1437,우도다방 돼지네땅콩손만두,대표메뉴는 우도땅콩만두,매일 09:00~05:00 동절기/매일 09:00~06:00 하절기/배 안뜨면 휴무,"평일 : 09:00 ~ 17:00 , 주말 : 09:00 ~ 17:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,우도몬딱,우도바다 보면서 땅콩츄러스 먹기,하절기 09:00 ~ 19:00 / 동절기 09:00 ~ 18:00,"평일 : 09:00 ~ 18:00 , 주말 : 09:00 ~ 18:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1439,우도설빙면,인기메뉴는 흑돼지해물볶음,,"평일 : 09:30 ~ 17:30 , 주말 : 09:30 ~ 17:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,우도씨,"핫도그와 호떡, 아이스크림 카페",,"평일 : 09:30 ~ 18:00 , 주말 : 09:30 ~ 18:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,우도아름다운소풍,"한라산 볶음밥과 해물짬뽕, 그리고 전복스테이크가 유명",주의보시 휴무 / 일요일 12:00 - 16:30,"평일 : 09:00 ~ 16:30 , 주말 : 09:00 ~ 16:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,월정리갈비밥,"모르던 사이는 아니었는데, 이제야 만났네","연중무휴, 브레이크타임 15:00~17:00","평일 : 11:00 ~ 20:00 , 주말 : 11:00 ~ 20:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1443,윌라라,달고기와 상어고기를 맛볼 수 있는 곳,마지막주문 23:00,"평일 : 12:00 ~ 23:30 , 주말 : 12:00 ~ 23:30",,,,,,,"현금결제,카드결제,화장실,무료 WIFI,경보 및 피난시설",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1444,유리네,제주시 연동에 위치한 제주공항 근처 향토음식 전문점,명절 휴무,"평일 : 09:00 ~ 21:00 , 주말 : 09:00 ~ 21:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1445,이드레국수,중문에 있는 국수전문점,,"평일 : 09:00 ~ 21:00 , 주말 : 09:00 ~ 21:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1446,이어도식당,제주 고사리 삼겹살을 제대로 느낄수 있는 식당,연중무휴,"평일 : 07:00 ~ 21:00 , 주말 : 07:00 ~ 21:00",,,,,,,"공용주차장,현금결제,카드결제,화장실",,장애인 시설정보 >,쉬움,,,,,,,,,,,,,,,,,,,,,,,
1447,일도 국수,제주시내 위치한 착한가격 국수집,연중무휴,"평일 : 11:00 ~ 19:00 , 주말 : 11:00 ~ 19:00",,,,,,,"현금결제,카드결제,화장실,음료대",착한가격 업소,,,,,,,,,,,,,,,,,,,,,,,,,
1448,잠녀해녀촌,함덕 해녀들이 운영하는 식당,연중무휴,"평일 : 7 ~ 21 , 주말 : 7 ~ 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,제니스브레드,맛있는 빵과 브런치를 즐길 수 있는 곳,,,,,,,,,"현금결제,카드결제,화장실,무료 WIFI,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
1450,제스토리,올레 7코스 법환 포구에서 쉬어가기,연중무휴,"평일 : 09:00 ~ 21:00 , 주말 : 09:00 ~ 21:00",,,,,,,"공용주차장,화장실",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1451,제주맥주,세계적 크래프트맥주사가 함께 만든 제주맥주,"월요일, 화요일, 수요일 휴무 / 제주맥주 양조장 투어는 사전예약제로 운영, 당일예약 불가","평일 : 13:00 ~ 20:00 , 주말 : 13:00 ~ 20:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1452,제주오성,한상으로 한 번에 느끼는 제주의 맛,라스트오더 21:30,"평일 : 09:00 ~ 22:30 , 주말 : 09:00 ~ 22:30",,,,,,,"카드결제,화장실",,,,,,,,,,,,,,,,,,,,,,,,,,
1453,제주올레횟집,서귀포 제주 올레길 6코스 서귀포항에 위치한 제주올레횟집,,"평일 : 16:00 ~ 22:30 , 주말 : 16:00 ~ 22:30",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1454,제주칼국수 제주해물탕,바다를 통째로 담아놓은 비주얼의 해물탕을 즐길 수 있는 곳,,"평일 : 07:30 ~ 22:00 , 주말 : 07:30 ~ 22:00",,,,,,,"현금결제,카드결제,화장실,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
1455,제주토속몸국,"착한가격업소, 제주산 돼지고기로 만든 제주 전통음식",이용시간 변동 가능,"평일 : 06:00 ~ 18:30 , 주말 : 06:00 ~ 18:30",,,,,,,"현금결제,카드결제,화장실,음료대",착한가격 업소,,,,,,,,,,,,,,,,,,,,,,,,,
1456,제주한면가,제주 향토 면요리와 흑돈 돔베고기를 판매하는 곳,매주 수요일 휴무 / 평일 마지막 주문 15: 00 / 주말 브레이크 타임 15 :00 ~ 16:30,"평일 : 10:30 ~ 15:30 , 주말 : 10:30 ~ 19:00",,,,,,,"현금결제,카드결제,화장실",,,,,,,,,,,,,,,,,,,,,,,,,,
1457,주르레식당,주르레 마을에 있는 조용한 레스토랑,"목요일 휴무, 브레이크 타임 15:00 ~ 17:00, 런치 라스트오더 14:00","평일 : 12:00 ~ 19:00 , 주말 : 12:00 ~ 15:00",,,,,,,"공용주차장,화장실,무료 WIFI",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1458,주상절리회국수,지친 몸을 위한 시원한 회국수,"둘째, 넷째주 목요일 휴무","평일 : 10:00 ~ 20:00 , 주말 : 10:00 ~ 20:00",,,,,,,"공용주차장,현금결제,화장실,무료 WIFI",,,,,,,,,,,,,,,,,,,,,,,,,,
1459,중문어촌계해녀의집,자연산 해산물 요리,"동절기 : 08:00 ~ 17:00 , 하절기 : 08:00 ~ 18:00","평일 : 08:00 ~ 17:00 , 주말 : 08:00 ~ 17:00",,,,,,,"현금결제,화장실,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
1460,중식당 청,메종글래드 제주 중식당 청,청 운영시간 11:30 - 15:00 17:30 - 22:00 Last Order 14:30 / 21:30,,,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,경보 및 피난시설",,장애인 시설정보 >,쉬움,,,,,,,,,,,,,,,,,,,,,,,
1461,짱아저씨,한눈에도 푸짐한 성산의 해물탕/구이 전문점,,"평일 : 11:00 ~ 21:00 , 주말 : 11:00 ~ 21:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,쭈니창고,중산간 한갓진 산골에서 맛보는 화덕피자와 육즙버거,일요일휴무,"평일 : 11:00 ~ 19:00 , 주말 : 11:00 ~ 19:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1463,착한마녀김밥,간단한 아침식사부터 든든한 간식으로까지 안성맞춤인 끼니를 제공하는 서귀포 성산읍에 위치한 분식점,,"평일 : 08:00 ~ 21:00 , 주말 : 08:00 ~ 21:00",,,,,,,"현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1464,채원일식,제주시내 위치한 일식 코스요리 전문점,매주 화요일 휴무,"평일 : 11:30 ~ 22:00 , 주말 : 11:30 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1465,천리식당,비자림 근처 천리식당,,"평일 : 09:00 ~ 20:00 , 주말 : 09:00 ~ 20:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1466,청운식당,성산일출봉 근처 해물요리 전문점,,"평일 : 07:00 ~ 22:00 , 주말 : 07:00 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1467,촌촌해녀촌,바다 앞 촌촌해녀촌,매달 넷째 주 화요일 휴무,"평일 : 09:00 ~ 19:00 , 주말 : 09:00 ~ 19:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1468,카페 깡,표선면 가시리에 있는 예쁜 카페,,"평일 : 10:00 ~ 21:00 , 주말 : 10:00 ~ 21:00",,,,,,,"현금결제,카드결제,화장실,무료 WIFI,음료대",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1469,카페 도두,심슨카페로 더 유명한 카페 도두(Do Doo),,"평일 : 10:00 ~ 22:00 , 주말 : 10:00 ~ 22:00",,,,,,,"공용주차장,화장실,무료 WIFI",,,,,,,,,,,,,,,,,,,,,,,,,,
1470,카페리(CAFERI),평대해수욕장에 위치한 사진찍기 좋은 카페,마감시간 당일공지 / 휴무 별도공지 / 포장가능,"평일 : 11:30 ~ , 주말 : 11:30 ~",,,,,,,무료 WIFI,,,,,,,,,,,,,,어린이 출입불가,,,,,,,,,,,,
1471,카페앤드효은양갱,한라봉으로 만든 수제양갱을 맛보다,예약 가능,"평일 : 09:00 ~ 21:00 , 주말 : 09:00 ~ 21:00",,,,,,,"공용주차장,화장실,무료 WIFI",,,,,,,,,,,,,,,,,,,,,,,,,,
1472,카페피크닉(르피크닉),대평리에 위치한 루프탑 카페& 라운지,10월~2월 운영시간 08:00 - 16:30,"평일 : 08:00 ~ 21:00 , 주말 : 08:00 ~ 21:00",,,,,,,"공용주차장,화장실,무료 WIFI",,,,,,,,,,,,,,,,,,,,,,,,,,
1473,카페희상,표선 바다를 바라보며 느긋하게 쉬어가기,수요일 정기휴무,"평일 : 10:00 ~ 22:00 , 주말 : 10:00 ~ 22:00",,,,,,,공용주차장,,,,,,,,,,,,,,,,,,,,,,,,,,
1474,타이웍,제주시에 위치한 태국요리 전문점,"매주 화요일 ,매월 마지막 수요일 휴무 / 브레이크타임 15:00 ~ 17:00","평일 : 11:30 ~ 22:00 , 주말 : 11:30 ~ 22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,타코마씸,아담한 멕시코음식점,금요일 휴무. 하절기 : 11:00 - 21:00 동절기 : 12:30 - 20:00,"평일 : 12:30 ~ 20:00 , 주말 : 12:30 ~ 20:00",,,,,,,"현금결제,카드결제,화장실,음료대",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1476,탑동산호전복,20년 전통의 제주도 대표 향토음식 전복요리 전문점,,"평일 : 07:00 ~ 21:30 , 주말 : 07:00 ~ 21:30",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1477,탕궁훠궈,중국정통훠궈 전문점,"룸 혹은 단체 이용 시 미리 예약. 룸은 최대 11인 이용 가능. 회사회식, 각종파티, 단체 환영.","평일 : 12:00 ~ 23:00 , 주말 : 12:00 ~ 23:00",,,,,,,"현금결제,카드결제,화장실,무료 WIFI,흡연구역",,,,,,,,,,,,,,,,,,,,,,,,,,
1478,태광식당,백종원도 반한 한치와 주물럭의 만남,"일요일 휴무, 브레이크타임 15:00~17:30","평일 : 11:30 ~ 22:00 , 주말 : 11:30 ~ 22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,테이크파이브재즈클럽,제주 최초의 재즈 라이브 클럽 테이크파이브,월화수 휴무,"평일 : 19:00 ~ 00:00 , 주말 : 19:00 ~ 00:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1480,파니야그릴,제주에 하나뿐인 퓨전 철판볶음전문점. 제주 로컬 식재료를 이용하여 즉석으로 요리한다.,"일요일 휴무, 라스트오더 20시30분, 브레이크타임15시~17시 (재료소진시 조기마감 될 수도 있음)","평일 : 11:00 ~ 21:00 , 주말 : 11:00 ~ 21:00",,,,,,,"현금결제,카드결제,무료 WIFI,화장실",,,어려움,,,"생삽겹철판볶음밥,송화고철판볶음밥,해물철판볶음",,,,,,,불가능,어린이 출입가능,,,,,,,,,,,,
1481,평대랑 그네랑,평대랑 그네랑은 구좌읍 평대리 해변에 위치한 해변카페입니다.,목요일 휴무,"평일 : 11:00 ~ 19:00 , 주말 : 11:00 ~ 19:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,포도원흑돼지,최고 등급의 우도산 흑돼지로 쫄깃한 식감과 고소한 맛을 자랑하는 곳,,"평일 : 11:00 ~ 23:00 , 주말 : 11:00 ~ 23:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1483,포도호텔레스토랑,신선한 아침식사부터 로맨틱한 저녁식사까지 즐길 수 있는 곳,조식: 6:30~10:30 (라스트 오더 10시)/ 중식:11:30~16:00 (라스트 오더 15:30) / 석식:17:00~22:00(라스트 오더 21:30),"평일 : 06:30 ~ 22:00 , 주말 : 06:30 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,장애인 시설정보 >,어려움,,,,,,,,,,,,,,,,,,,,,,,
1484,피시야 카페,함덕 서우봉 해변에 위치한 물고기 테마의 카페,하절기 09:00 - 20:00,"평일 : 09:00 ~ 19:00 , 주말 : 09:00 ~ 19:00",,,,,,,"현금결제,카드결제,화장실,무료 WIFI,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
1485,피제리아3657,제주도의 '산토리니' 서귀포 대평포구의 랜드마크 피제리아 3657,매주 일요일 휴무,"평일 : 11:00 ~ 21:00 , 주말 : 11:00 ~ 21:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",착한가격 업소,장애인 시설정보 >,어려움,,,,,,,,,,,,,,,,,,,,,,,
1486,하노이안브라더스,베트남 하노이에서 오랫동안 거주했던 주인 부부가 제주에 정착하며 오픈한 베트남 요리 전문 레스토랑,"첫째주, 셋째주 수요일 휴무 / Break time 15:00~17:00","평일 : 11:00 ~ 21:00 , 주말 : 11:00 ~ 21:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,하도리1091,조용하고 아늑한 분위기에서 즐기는 새우요리,"휴무 sns 공지, 브레이크 타임 15시~16:30","평일 : 11:00 ~ 20:00 , 주말 : 11:00 ~ 20:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대",,,,,,,,,,,,,불가능,어린이 출입불가,,,,,,,,,,,,
1488,한라앤탐,위미 동백 군락지에 자리잡은 소박한 보말음식 전문점,토요일,"평일 : 8:30 ~ 16:00 , 주말 : ~",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1489,한성식당,성산일출봉 인근에 위치한 향토음식점,명절 전날. 당일 휴무,"평일 : 07:30 ~ 22:00 , 주말 : 07:30 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1490,해금강횟집,서부두 방파제 끝 탑동에 위치한 해금강횟집,,"평일 : 11:30 ~ 23:00 , 주말 : 11:30 ~ 23:00",,,,,,,"공용주차장,현금결제,카드결제,화장실",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1491,허벅식당,"푸른 제주 바다도 보고, 맛있는 제주 향토 음식도 먹고",브레이크 타임 16:00 – 18:00 연중무휴,"평일 : 10:30 ~ 20:30 , 주말 : 10:30 ~ 20:30",,,,,,,"현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1492,허브팜카페,시그니처 메뉴는 거대한 타워버거,쉬는시간: 16:00 ~ 17:00,"평일 : 10:00 ~ 21:00 , 주말 : 10:00 ~ 21:00",,,,,,,"현금결제,카드결제,화장실,무료 WIFI,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
1493,호돌이식당,인기메뉴는 호돌이덮밥과 보말죽,,"평일 : 09:00 ~ 15:00 , 주말 : 09:00 ~ 15:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,화진전복,제주공항 근처에 위치한 전복요리 맛집,* 연중 무휴,"평일 : 08:00 ~ 22:00 , 주말 : ~",,,,,,,"현금결제,카드결제,화장실",,,,,,,,,,,,,,,,,,,,,,,,,,
1495,73st,엔티크하고 분위기있는 인테리어를 갖춘 브런치 카페,"라스트오더 21시, 브런치 라스트오더 17시30분","평일 : 09:00 ~ 22:00 , 주말 : 09:00 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",,장애인 시설정보 >,쉬움,,,,,,,,,,,,,,,,,,,,,,,
1496,COOK FATHER(쿡파더),"종달리에 위치한 딱새우리조또, 한치덮밥, 돌문어 파스타, 새우장 덮밥 등 제주도의 신선한 해산물을 이용한 퓨전요리전문점",,"평일 : 10:00 ~ 22:00 , 주말 : 10:00 ~ 22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,ROAD129(로드129),애월읍에 위치한 전국맛집 TOP 1000에 선정된 수제함박스테이크 전문점,마감30분전 마지막주문,"평일 : 11:00 ~ 20:30 , 주말 : 11:00 ~ 20:30",,,,,,,"현금결제,카드결제,화장실,무료 WIFI,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
1498,강해일횟집,제주 표선 가성비 최고 횟집,연중무휴,"평일 : 10:00 ~ 21:30 , 주말 : 10:00 ~ 21:30",,,,,,,"공용주차장,현금결제,카드결제,화장실",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1499,건달다방,건강하고 달달한 디저트가 컨셉인 디저트카페,"일요일 10:30 ~ 18:00 / 공휴일, 휴무일은 인스타그램 참고","평일 : 10:30 ~ 22:00 , 주말 : 10:30 ~ 22:00",,,,,,,"화장실,무료 WIFI",,,,,,,,,,,,,,,,,,,,,,,,,,
1500,고고리식당,"제주시 아라동에 위치한 카레, 돈까스 맛집 고고리식당입니다.",브레이크 타임 15시~ 17시30분,"평일 : 11:00 ~ 21:00 , 주말 : 11:00 ~ 21:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,흡연구역,편의점,음료대",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1501,고등어쌈밥,성산일출봉 인근에 위치한 고등어쌈밥 전문점,,"평일 : 08:00 ~ 22:00 , 주말 : 08:00 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대",,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1502,고메아일랜드,"제주도 내의 미식의 섬, 고메아일랜드",연중무휴. 브레이크 타임 15:00 ~ 17:00,"평일 : 11:30 ~ 21:00 , 주말 : 11:30 ~ 21:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1503,고요남,육회물회와 고인돌갈비가 유명한 이도지구 맛집,매월 마지막주 수요일 휴무,"평일 : 11:00 ~ 23:00 , 주말 : 11:00 ~ 23:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,편의점,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1504,고향생각,느끼하지 않고 담백한 고기국수를 맛볼 수 있는 곳,비정기 휴무,"평일 : 11:00 ~ 20:00 , 주말 : 11:00 ~ 20:00",,,,,,,"현금결제,카드결제,화장실,음료대",,,,,,,,,,,,,,,,,,,,,,,,,,
1505,곤경에빠진버거,"허브, 제주산 돼지고기 패티를 넣은 수제버거",4월~9월(성수기) 매일 10:30 - 17:30/10월~3월(비수기) 매일 10:30 - 16:30. 목요일 휴무,"평일 : 10:30 ~ 16:30 , 주말 : 10:30 ~ 16:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,골목집갈치와고등어,표선에 위치한 갈치조림이 맛있는 곳,3주 목요일 휴무,"평일 : 08:00 ~ 22:00 , 주말 : 08:00 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",,,,,,,,,,,,,,,,,,,,,,,,,,
1507,곱을락(음식점),아는 사람만 아는 흑돼지 전문점,일요일 휴무 / 브레이크타임 15:00 - 17:00,"평일 : 11:00 ~ 21:00 , 주말 : 11:00 ~ 21:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,광원,한식과 일식의 조화,"명절(설, 추석) 휴무","평일 : 11:30 ~ 10:00 , 주말 : 11:30 ~ 10:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설",,장애인 시설정보 >,쉬움,,,,,,,,,,,,,,,,,,,,,,,
1509,광평도새기촌 이도점,근고기와 신선한 제주산 한우를 저렴한 가격에 제공하는 착한가격의 모범음식점 지정업소,,"평일 : 11:30 ~ 22:00 , 주말 : 11:30 ~ 22:00",,,,,,,"공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설",착한가격 업소,,아주 어려움,,,,,,,,,,,,,,,,,,,,,,,
1510,괸당네식당,대표메뉴는 지슬 국수와 흑돼지 두루치기,연중무휴,"평일 : 08:30 ~ 16:30 , 주말 : 08:30 ~ 16:30",,,,,,,화장실,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,구름물고기,애월 초록 밭 앞에 위치한 홍차 전문점,"매주 월요일 휴무, 마지막주 일요일 휴무","평일 : 12:00 ~ 17:30 , 주말 : 12:00 ~ 17:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,국수냐 국밥이냐,세자매 가족경영으로 저렴한 가격에 음식을 제공하는 착한 업소,,"평일 : 10:00 ~ 22:00 , 주말 : 10:00 ~ 22:00",,,,,,,"현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설",착한가격 업소,,,,,,,,,,,,,,,,,,,,,,,,,
1513,그대와함께라면,생면으로 깔끔한 성산일출봉 근처 해물라면,연중무휴,"평일 : 10:00 ~ 20:00 , 주말 : 10:00 ~ 20:00",,,,,,,"공용주차장,현금결제,카드결제",,,,,,,,,,,,,,,,,,,,,,,,,,
1514,그리다시카고피자&파스타,정통 시카고피자 전문점,매주 월요일 휴무,"평일 : 12:00 ~ 22:00 , 주말 : 12:00 ~ 22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
